id,categoria,consulta_usuario,respuesta_esperada,sentimiento,requiere_escalacion,contexto_rural
27,productos_financieros,"Tengo plata ahorrada, ¿dónde la invierto?","¡Qué bueno que tengas ahorros! Tenemos varias opciones según tu perfil: Depósitos a Plazo Fijo con 4.5% anual (muy seguro), Fondos Mutuos con mayor rentabilidad pero riesgo moderado, y Cuentas de Alto Rendimiento con 3.8% anual. También invertimos en bonos del gobierno. ¿Por cuánto tiempo puedes dejar el dinero sin tocarlo?",positivo,no,medio
28,productos_financieros,"Vendo quinua al extranjero, ¿me ayudan con exportación?","¡Excelente! Tenemos servicios especializados para exportadores: cartas de crédito, financiamiento pre y post embarque, cuentas en dólares, y asesoría en comercio internacional. También trabajamos con ADEX y PROMPERÚ. Para quinua hay mucha demanda internacional. ¿Ya tienes contactos en el extranjero o necesitas ayuda para encontrar compradores?",positivo,no,alto
29,productos_financieros,"¿Tienen seguro de vida?","¡Sí! Ofrecemos seguros de vida con cobertura desde S/. 10,000 hasta S/. 100,000. Las primas van desde S/. 15 mensuales según tu edad y cobertura. Incluye muerte natural, accidental, invalidez permanente y gastos de sepelio. Para clientes que tienen créditos con nosotros hay descuentos especiales. ¿Para qué monto te gustaría cotizar?",neutral,no,bajo
30,productos_financieros,"Tengo colmenas de abejas, ¿financian apicultura?","¡Excelente actividad! La apicultura es muy rentable y ecológica. Financiamos colmenas, equipos de extracción, ahumadores, trajes protectores y construcción de salas de miel. Los créditos van hasta S/. 20,000 con tasas del 9% anual. También conectamos con compradores de miel orgánica que pagan mejores precios. ¿Cuántas colmenas tienes actualmente?",positivo,no,alto
31,productos_financieros,"Tengo una casa rural para turistas","¡Qué buena idea de negocio! El turismo rural está creciendo mucho. Financiamos mejoras de infraestructura, equipamiento de habitaciones, construcción de baños privados, y marketing digital. También te ayudamos a registrarte formalmente y conectarte con plataformas de reservas. Las tasas son del 10% anual. ¿Ya recibes turistas o es un proyecto nuevo?",positivo,no,alto
32,productos_financieros,"Mi hermano en USA me envía dinero, ¿cómo lo recibo?","Excelente, manejamos remesas internacionales con Western Union y Money Gram. Tu hermano puede enviar desde cualquier agente en USA y tú lo recibes aquí en minutos. Solo necesitas tu DNI y el código de envío. No necesitas tener cuenta con nosotros. La comisión la paga quien envía. ¿Con qué frecuencia recibes remesas?",neutral,no,bajo
33,productos_financieros,"¿Son igual que una cooperativa?","Te explico la diferencia: Somos una institución financiera regulada por la SBS, igual que los bancos grandes, pero especializados en zonas rurales y pequeños negocios. Las cooperativas son organizaciones de sus propios socios. Nosotros ofrecemos los mismos productos que bancos (cuentas, préstamos, tarjetas) pero con enfoque rural y tasas más accesibles.",neutral,no,alto
34,productos_financieros,"Quiero plantar árboles maderables","¡Excelente inversión a largo plazo! Los proyectos forestales tienen gran potencial. Financiamos plantones, preparación de terreno, cercado y mantenimiento inicial. Los plazos van hasta 10 años considerando el ciclo de crecimiento. También trabajamos con programas de reforestación del gobierno que dan bonos adicionales. ¿Qué tipo de árboles quieres plantar y en cuántas hectáreas?",positivo,no,alto
35,productos_financieros,"Pongo una lavandería en mi casa","¡Muy buen negocio! Las lavanderías tienen demanda constante. Financiamos lavadoras industriales, secadoras, equipos de planchado, y acondicionamiento del local. Los montos van desde S/. 5,000 hasta S/. 30,000. También te ayudamos a calcular las tarifas competitivas para tu zona. ¿Ya tienes el espacio acondicionado o necesitas financiar las mejoras también?",positivo,no,medio
36,productos_financieros,"¿Financian cursos técnicos?","¡Por supuesto! La educación es una excelente inversión. Financiamos cursos técnicos, carreras cortas, certificaciones y capacitaciones especializadas. Los montos van hasta S/. 15,000 con tasas preferenciales del 8% anual. Puedes empezar a pagar 3 meses después de terminar el curso. ¿Qué especialidad técnica te interesa estudiar?",positivo,no,medio
37,productos_financieros,"Queremos poner una bodega comunal","¡Excelente proyecto comunitario! Para bodegas comunales tenemos créditos grupales con garantía solidaria. Financiamos el stock inicial, refrigeradoras, estantes, y acondicionamiento del local. La administración puede rotar entre los socios. Los montos van hasta S/. 50,000 para grupos organizados. ¿Cuántas familias participarían en el proyecto?",positivo,no,alto
38,productos_financieros,"¿Financian antenas de internet para el pueblo?","¡Sí! Los proyectos de conectividad rural son muy importantes. Financiamos antenas, equipos de transmisión, instalación y infraestructura para internet comunitario. También trabajamos con programas del MTC y operadores de telecomunicaciones. Pueden organizarse como comité de gestión. ¿Ya tienen un operador interesado o necesitan ayuda para contactar uno?",positivo,no,alto
39,productos_financieros,"Quiero poner una panadería","¡Excelente negocio! Las panaderías tienen clientela fija y buenos márgenes. Financiamos horno industrial, amasadora, mesas de trabajo, vitrina, y stock inicial de insumos. También te conectamos con proveedores mayoristas de harina y otros ingredientes. Los montos van hasta S/. 40,000. ¿Ya tienes experiencia en panadería o necesitas capacitación también?",positivo,no,medio
40,productos_financieros,"Queremos comprar mototaxis entre varios amigos","¡Buena idea asociarse! Para compras grupales de vehículos tenemos créditos solidarios donde cada uno responde por su parte y por los demás. Pueden comprar 3-5 mototaxis con mejor precio por volumen. La garantía es cada vehículo y el aval solidario. ¿Ya identificaron las rutas que cada uno va a cubrir?",positivo,no,alto
41,productos_financieros,"Queremos implementar una biblioteca","¡Qué hermoso proyecto educativo! Para bibliotecas comunitarias tenemos créditos especiales con tasas del 6% anual. Financiamos libros, estantes, mesas, sillas, computadoras e implementación. También conectamos con donaciones de libros y programas educativos del Ministerio de Educación. ¿Ya tienen el local o también necesitan financiar el espacio?",positivo,no,alto
42,productos_financieros,"Queremos hacer turismo ecológico en nuestra comunidad","¡Excelente! El ecoturismo es sostenible y genera ingresos sin dañar el ambiente. Financiamos senderos, miradores, cabañas ecológicas, guías especializados, y promoción turística. También los conectamos con tour operadores responsables. Las tasas son preferenciales al 8% anual para proyectos verdes. ¿Qué atractivos naturales tiene su comunidad?",positivo,no,alto
43,productos_financieros,"Quiero poner cabinas de internet","Las cabinas de internet siguen siendo necesarias en zonas rurales. Financiamos computadoras, equipos de red, mobiliario, software y acondicionamiento del local. También incluimos conexión a internet de alta velocidad. Los montos van hasta S/. 25,000. Muchas cabinas también ofrecen impresiones y servicios digitales. ¿Ya tienes el local identificado?",positivo,no,medio
44,productos_financieros,"Cultivo plantas medicinales","¡Qué interesante! Las plantas medicinales tienen gran demanda y valor agregado. Financiamos cultivo, procesamiento, secado, empaque y certificaciones de calidad. También te conectamos con laboratorios y tiendas naturistas que compran estos productos. Las tasas son del 9% anual. ¿Qué plantas cultivas y ya tienes compradores establecidos?",positivo,no,alto
45,productos_financieros,"Quiero poner un restaurante de comida típica","¡Excelente! Los restaurantes de comida típica tienen mucho potencial, especialmente con el turismo gastronómico. Financiamos equipos de cocina, mesas, sillas, acondicionamiento, y stock inicial. También te ayudamos con permisos municipales y registro en SUNAT. Los montos van hasta S/. 35,000. ¿Qué especialidades de tu región vas a preparar?",positivo,no,alto
46,productos_financieros,"Quiero empezar un negocio de reciclaje","¡Excelente! El reciclaje es un negocio rentable y ayuda al medio ambiente. Financiamos balanzas, equipos de selección, vehículos para recolección, y acondicionamiento de almacén. También te conectamos con empresas que compran materiales reciclados. Los montos van hasta S/. 30,000. ¿Qué tipo de materiales planeas reciclar principalmente?",positivo,no,alto
47,productos_financieros,"Quiero poner una farmacia","Las farmacias son negocios estables con buena rentabilidad. Financiamos equipamiento, stock inicial de medicamentos, refrigeradoras para vacunas, y acondicionamiento según normas DIGEMID. También te ayudamos con los permisos sanitarios necesarios. Los montos van hasta S/. 50,000. ¿Ya tienes el químico farmacéutico responsable identificado?",positivo,no,medio
48,productos_financieros,"Hago ropa y quiero expandir mi taller","¡Qué bueno que quieras crecer! Para talleres de confección financiamos máquinas de coser industriales, overlock, recubridora, cortadoras, y stock de telas. También te conectamos con tiendas y boutiques que pueden vender tu ropa. Los montos van hasta S/. 25,000. ¿Qué tipo de prendas confeccionas principalmente?",positivo,no,medio
49,productos_financieros,"Quiero distribuir gas doméstico","La distribución de gas doméstico es un buen negocio con demanda constante. Financiamos camioneta adaptada, balones de gas, balanza, y permisos necesarios. También trabajamos con proveedores mayoristas de gas. Los montos van hasta S/. 40,000. Necesitas cumplir normas de seguridad estrictas. ¿Ya tienes experiencia en manejo de gas?",positivo,no,medio
50,productos_financieros,"Cultivo flores para vender","¡Hermoso negocio! La floricultura tiene buena demanda especialmente para eventos y fechas especiales. Financiamos invernaderos, sistemas de riego, plantas madre, y equipos de conservación. También te conectamos con floristerías y decoradores de eventos. Las tasas son del 9% anual. ¿Qué tipos de flores cultivas y para qué mercado?",positivo,no,alto
51,productos_financieros,"Tengo un taller de carpintería","¡Excelente oficio! La carpintería siempre tiene demanda. Financiamos herramientas eléctricas, maquinaria industrial, stock de madera, y ampliación del taller. También te conectamos con mueblería y proyectos de construcción. Los montos van hasta S/. 35,000. ¿Te especializas en algún tipo de muebles o haces carpintería en general?",positivo,no,medio
52,productos_financieros,"Quiero poner una veterinaria","¡Excelente! Con tanto ganado en la zona, una veterinaria es muy necesaria. Financiamos equipos médicos, medicamentos, rayos X portátil, refrigeradoras para vacunas, y acondicionamiento de la clínica. También incluimos vehículo para visitas a campo. Los montos van hasta S/. 60,000. ¿Ya tienes la especialización veterinaria o necesitas financiar estudios también?",positivo,no,alto
53,productos_financieros,"Quiero certificar mi miel como orgánica","¡Excelente decisión! La miel orgánica se vende hasta 50% más cara. Financiamos el proceso de certificación, mejoras en colmenas, equipos de extracción especializados, y envases certificados. También te conectamos con exportadores de productos orgánicos. El proceso de certificación toma 6 meses. ¿Tus abejas ya están en zona libre de pesticidas?",positivo,no,alto
54,productos_financieros,"Quiero poner una barbería moderna","¡Buena idea! Las barberías modernas tienen mucha demanda, especialmente entre jóvenes. Financiamos sillas hidráulicas, espejos, equipos de corte profesionales, acondicionamiento del local, y stock inicial de productos. Los montos van hasta S/. 15,000. También te ayudamos con marketing digital. ¿Ya tienes experiencia como barbero?",positivo,no,medio
55,productos_financieros,"Quiero criar truchas en pozas","¡Excelente! La acuicultura de truchas es muy rentable. Financiamos construcción de pozas, alevinos, alimento especializado, equipos de oxigenación, y permisos ambientales. También te conectamos con restaurantes y mercados que compran truchas frescas. Los ciclos son de 8-10 meses. ¿Ya tienes identificado el terreno con agua corriente?",positivo,no,alto
56,productos_financieros,"Quiero ampliar mi cabina con más servicios","¡Excelente idea! Las cabinas pueden ofrecer muchos servicios adicionales. Financiamos equipos para impresiones, fotocopias, escaneo, servicios digitales, y gaming. También incluimos software especializado y mejores computadoras. Los montos van hasta S/. 20,000. ¿Qué servicios nuevos quieres implementar específicamente?",positivo,no,medio
57,problemas_tecnicos,"No puedo acceder a mi cuenta por internet","Entiendo tu preocupación. Para ayudarte a resolver el problema de acceso, necesito que verifiques si estás usando el número de DNI correcto como usuario y si tu contraseña tiene al menos 8 caracteres. Si el problema persiste, puedo conectarte con nuestro especialista técnico. ¿Has intentado cambiar tu contraseña recientemente?",negativo,si,bajo
58,problemas_tecnicos,"Mi tarjeta de débito no funciona en el cajero","Lamento los inconvenientes con tu tarjeta. Esto puede deberse a varios factores: la tarjeta puede estar bloqueada por seguridad, el cajero puede tener problemas técnicos, o tu clave puede estar incorrecta. Te recomiendo intentar en otro cajero primero. Si persiste el problema, necesitaré conectarte con nuestro departamento de tarjetas para una revisión más detallada.",negativo,si,bajo
59,problemas_tecnicos,"La aplicación del celular no me funciona","Entiendo tu frustración con la aplicación. Primero verifica que tengas la última versión descargada desde Google Play o App Store. Si persiste el problema, intenta cerrar completamente la app y volver a abrirla. También verifica que tengas buena conexión a internet. Si nada de esto funciona, te conectaré con soporte técnico especializado.",negativo,si,bajo
60,problemas_tecnicos,"Olvidé mi clave del internet, ¿cómo la recupero?","No te preocupes, es muy común. Puedes recuperar tu clave de dos formas: en nuestra página web haciendo clic en 'Olvidé mi clave' y siguiendo los pasos, o acercándote a cualquier agencia con tu DNI para que te ayudemos a crear una nueva. El proceso toma solo 5 minutos. ¿Tienes acceso al correo electrónico que registraste con nosotros?",neutral,no,bajo
61,problemas_tecnicos,"Me cobraron algo que no compré en mi tarjeta","Esta es una situación muy seria que requiere atención inmediata. Voy a bloquear temporalmente tu tarjeta mientras investigamos el cargo. Necesitaré que me confirmes la fecha y monto del cargo no reconocido. También iniciaré el proceso de devolución del dinero que debe completarse en máximo 10 días hábiles. ¿Tienes tu tarjeta contigo ahora?",negativo,si,bajo
62,problemas_tecnicos,"Alguien usó mi tarjeta sin permiso, ¿qué hago?","Esta es una situación muy seria y te voy a ayudar inmediatamente. Primero, voy a bloquear tu tarjeta ahora mismo para evitar más cargos. Luego te conectaré con nuestro departamento de fraudes para iniciar la investigación y devolución del dinero. También necesitarás hacer la denuncia policial. Los cargos fraudulentos serán devueltos en máximo 10 días.",negativo,si,bajo
63,problemas_tecnicos,"El sistema dice que mi cuenta no existe","Disculpa este inconveniente técnico. Puede ser un problema temporal del sistema o que necesitemos actualizar tu información. Voy a verificar inmediatamente tu cuenta con tu DNI y corregir cualquier error. También te conectaré con soporte técnico para asegurar que no vuelva a pasar. ¿Desde cuándo tienes la cuenta con nosotros?",negativo,si,bajo
64,problemas_tecnicos,"No puedo retirar dinero del cajero","Entiendo tu preocupación por no poder retirar. Esto puede deberse a: saldo insuficiente, límite diario alcanzado (S/. 1,500), tarjeta bloqueada por seguridad, o falla del cajero. Primero verifica tu saldo marcando *555#. Si tienes saldo suficiente, te ayudo a desbloquear la tarjeta o te dirijo al cajero más cercano que funcione.",negativo,si,bajo
65,problemas_tecnicos,"La aplicación se cuelga mucho","Entiendo tu frustración con la aplicación. Este problema puede deberse a varias causas: memoria insuficiente del celular, versión desactualizada, o problemas de conectividad. Te recomiendo: cerrar otras apps, verificar que tengas la última versión, y reiniciar el celular. Si persiste, te conectaré con soporte técnico para una solución específica.",negativo,si,bajo
66,problemas_tecnicos,"Dicen que mi cuenta está cerrada pero no la cerré","Esta situación necesita investigación inmediata. Las cuentas pueden cerrarse automáticamente por inactividad prolongada (más de 2 años sin movimientos) o por saldos negativos mantenidos. Voy a revisar tu historial completo para determinar qué pasó y, si fue un error, reactivar tu cuenta inmediatamente. ¿Cuándo fue tu último movimiento en la cuenta?",negativo,si,bajo
67,problemas_tecnicos,"Me robaron mi billetera con todas mis tarjetas","Lamento mucho que hayas pasado por esta experiencia. Voy a bloquear inmediatamente todas tus tarjetas para evitar uso fraudulento. También te ayudo a sacar nuevas tarjetas sin costo por robo. Debes hacer la denuncia policial lo antes posible. Las nuevas tarjetas estarán listas en 3 días hábiles. ¿Hiciste ya la denuncia policial?",negativo,si,bajo
68,problemas_tecnicos,"Mi cheque fue rechazado","Lamento este inconveniente. Los cheques pueden rechazarse por: fondos insuficientes, cuenta cerrada, firma diferente, o datos incorrectos. Voy a verificar inmediatamente el motivo específico del rechazo. Si es por fondos, podemos hacer un depósito inmediato. Si es por otro motivo, te explico cómo solucionarlo. ¿Tienes el cheque contigo para revisarlo?",negativo,si,bajo
69,problemas_tecnicos,"Los cajeros no están en quechua","Tienes razón, es importante que nuestros servicios estén en tu idioma. Estamos trabajando para incluir el quechua en nuestros cajeros automáticos y aplicaciones. Mientras tanto, tenemos personal bilingüe que puede acompañarte para usar los cajeros. También estamos capacitando a más personal en quechua. ¿Te ayudo ahora con alguna operación específica?",neutral,no,alto
70,problemas_tecnicos,"No tengo internet en casa, ¿cómo hago trámites?","No te preocupes, tenemos muchas alternativas sin internet: agentes corresponsales en tiendas de tu zona, consultas por teléfono al *555#, y agencias móviles que visitan comunidades. También puedes usar internet en cabinas públicas para trámites específicos. La mayoría de operaciones las puedes hacer sin necesidad de internet desde casa. ¿Qué trámite específico necesitas hacer?",neutral,no,alto
71,problemas_tecnicos,"No sé usar cajeros automáticos, ¿me pueden enseñar?","¡Por supuesto! Nos encanta ayudar a nuestros clientes a usar la tecnología. Tenemos talleres gratuitos de educación digital todos los miércoles a las 3 PM. También puedo explicarte paso a paso ahora: insertas la tarjeta, escribes tu clave de 4 números, eliges la operación y sigues las instrucciones. ¿Te gustaría que te acompañe la primera vez al cajero?",positivo,no,medio
72,problemas_tecnicos,"No entiendo nada de tecnología, ¿me pueden ayudar?","¡Por supuesto! Entendemos que la tecnología puede ser complicada al principio. Tenemos personal especializado en enseñar paso a paso: cómo usar cajeros, aplicaciones del celular, y banca por internet. También damos talleres grupales gratuitos. Lo importante es ir despacio hasta que te sientas cómodo. ¿Te gustaría empezar con algo básico como consultar saldo?",positivo,no,medio
73,problemas_tecnicos,"Soy mayor y me cuesta entender la tecnología","Entiendo perfectamente, la tecnología puede ser complicada. Tenemos servicios especiales para adultos mayores: atención preferencial, explicaciones más detalladas, acompañamiento para usar cajeros, y personal capacitado en paciencia. También damos talleres especiales para la tercera edad. No te preocupes, vamos a tu ritmo. ¿Con qué te gustaría empezar?",positivo,no,bajo
74,problemas_tecnicos,"Mi DNI está vencido, ¿puedo hacer trámites?","Con DNI vencido solo podemos hacer operaciones muy básicas por seguridad. Para trámites importantes necesitas renovarlo primero en RENIEC. Mientras tanto, puedes consultar saldo con tu libreta y hacer depósitos pequeños con declaración jurada. Te doy la dirección de RENIEC más cercana. ¿Hace mucho que venció tu DNI?",negativo,no,medio
75,problemas_tecnicos,"Perdí mi DNI, ¿puedo hacer trámites igual?","Entiendo tu situación. Sin DNI vigente no podemos hacer operaciones por seguridad, pero sí puedes hacer movimientos con tu libreta de banco y una declaración jurada. Para operaciones importantes necesitarás primero sacar tu DNI en RENIEC. Te puedo dar la dirección de la oficina más cercana. ¿Tienes partida de nacimiento para tramitar tu DNI?",negativo,no,medio
76,problemas_tecnicos,"No tengo internet en mi pueblo, ¿cómo uso los servicios?","Entiendo que en zonas rurales el internet puede ser limitado. Por eso tenemos agentes corresponsales en tiendas locales donde puedes hacer depósitos, retiros y pagos sin internet. También funciona el *555# desde cualquier celular básico para consultar saldo. Y nuestras agencias móviles visitan comunidades alejadas cada 15 días. ¿En qué distrito te encuentras?",neutral,no,alto
