id,categoria,pregunta,respuesta,intencion,etiquetas
CP017,creditos,"¿Qué requisitos tiene un préstamo personal?","Para un préstamo personal necesitas DNI vigente, comprobante de ingresos de los últimos 3 meses, buen historial crediticio y recibo de servicios reciente. La evaluación demora máximo 24 horas.",requisitos_credito,"dni;ingresos;24 horas"
CP018,contacto,"¿Cuál es el número de atención?","Puedes comunicarte al 0800-52777 (línea gratuita 24/7), al (01) 612-5277 si llamas desde Lima o al WhatsApp oficial +51 955 123 456.",contacto_oficial,"0800-52777;612-5277;whatsapp"
CP019,canales,"¿Qué canales digitales existen?","Dispones de la banca web, la app móvil Caja Andes, nuestros agentes corresponsales digitales y el canal de WhatsApp verificado para hacer consultas y pagos seguros.",canales_digitales,"banca web;app;whatsapp"
CP020,seguridad,"¿Cómo me protejo de fraudes digitales?","No compartas tus contraseñas ni códigos, activa la doble autenticación, verifica que los enlaces sean oficiales y ante cualquier duda comunícate al 0800-52777. También puedes reportar mensajes sospechosos desde la app.",seguridad_digital,"doble autenticacion;enlaces oficiales;0800-52777"
CP021,experiencia,"Encuesta de satisfacción","Al finalizar tu consulta puedes responder una encuesta de satisfacción del 1 al 5 para ayudarnos a mejorar. ¿Deseas completarla ahora?",encuesta_satisfaccion,"encuesta;1 al 5"
CP022,recordatorios,"¿Cuándo debo pagar mi préstamo?","La fecha exacta está en tu cronograma. Puedes activar recordatorios por SMS, correo o programar débitos automáticos desde la app para no olvidar tus pagos.",recordatorio_prestamo,"cronograma;sms;debitos automaticos"
CP023,promociones,"¿Qué promociones hay?","Tenemos promociones vigentes en créditos agrícolas con tasas preferenciales, tarjetas sin comisión de emisión y descuentos del 10% en comercios aliados. Aquí tienes el enlace actualizado: https://demo.cajaandes/promos.",promociones,"tasas;descuento;10%"
CP024,tarjetas,"¿Cómo saco una tarjeta de débito?","Necesitas una cuenta activa, tu DNI y un depósito mínimo de S/ 20. El trámite demora pocos minutos en agencia y también podemos coordinar envío a domicilio en zonas autorizadas.",tarjeta_debito,"dni;deposito;envio domicilio"
CP025,tarjetas,"Perdí mi tarjeta, ¿cómo la bloqueo?","Primero bloquea la tarjeta llamando al 0800-52777 o desde la app. Luego acércate con tu DNI a la agencia para solicitar una reposición sin costo; estará lista en 3 días hábiles.",bloqueo_tarjeta,"reposicion;3 dias;0800-52777"
CP026,estados,"¿Cómo descargo mi estado de cuenta?","En la banca digital ingresa a ""Estados de cuenta"", elige tu producto y periodo, y descarga el PDF. También puedo enviarte un enlace directo si lo necesitas.",estado_cuenta,"pdf;banca digital;enlace"
CP027,reclamos,"¿Cómo presento un reclamo?","Puedes registrar un reclamo desde la web, la app o en cualquier agencia llenando el Libro de Reclamaciones. Recibirás un código de seguimiento y respuesta en un máximo de 30 días calendario.",presentar_reclamo,"libro de reclamaciones;codigo;30 dias"
CP028,datos,"¿Cómo actualizo mis datos?","Trae tu DNI y un recibo de servicios con la nueva dirección a la agencia o súbelos en la banca digital. La actualización se confirma en 24 horas.",actualizar_datos,"dni;recibo;24 horas"
CP029,cuentas,"¿Cuánto cuesta mantener mi cuenta?","La cuenta de ahorros tiene un mantenimiento de S/ 3 mensuales, pero se exonera si mantienes un saldo promedio de S/ 500 o si perteneces a un programa social.",costo_cuenta,"s/ 3;saldo promedio;programa social"
CP030,ahorro,"¿Qué es un plazo fijo?","Es un depósito a un plazo definido (30, 90, 180 o 360 días) con tasa fija hasta 6.5% anual. No admite retiros antes del vencimiento sin penalidad, pero garantiza el rendimiento.",plazo_fijo,"6.5%;plazo;penalidad"
CP031,horarios,"Hoy es feriado, ¿atienden?","En feriados especiales las agencias permanecen cerradas, pero mantenemos disponibles los cajeros automáticos, la app y la línea 0800-52777 para emergencias.",consulta_horarios,"feriado especial;cajeros;app"
CP032,canales,"¿Cómo activo mi banca digital?","Descarga la app Caja Andes o entra a la web, selecciona ""Activar banca digital"", ingresa tu DNI, número de tarjeta y confirma el código SMS. Todo el proceso demora menos de 5 minutos.",activar_banca_digital,"dni;codigo sms;5 minutos"
CP041,cuentas,"¿Qué necesito para abrir una cuenta de ahorros?","Solo necesitas tu DNI vigente, un recibo de servicios no mayor a 3 meses y un depósito mínimo de S/ 20. Puedes iniciar el trámite en línea y terminarlo en la agencia más cercana.",abrir_cuenta_ahorros,"dni;recibo;deposito minimo"
